,ip,label
978,240e:e2:1c:296a:c6c7:55e1:c01d:6a8a,2
5064,240e:e0:9e23:c001::1,0
5812,240e:e0:9e18:c001::1,0
5974,240e:e0:9e15:c001::1,0
6127,240e:e0:9e14:c001::1,0
6386,240e:e0:9e02:c001::1,0
6905,240e:e0:9d16:c001::1,0
7261,240e:e0:9d00:c001::1,0
7939,240e:e0:932a:c001::1,0
8098,240e:e0:906d:c001::1,0
8565,240e:e0:9068:c001::1,0
8878,240e:e0:9066:c001::1,0
10096,240e:e0:905e:c001::1,0
10402,240e:e0:905c:c001::1,0
10831,240e:e0:9055:c001::1,0
10954,240e:e0:9054:c001::1,0
11238,240e:e0:9052:c001::1,0
11406,240e:e0:9051:c001::1,0
11559,240e:e0:9050:c001::1,0
11720,240e:e0:904f:c001::1,0
12199,240e:e0:904a:c001::1,0
12372,240e:e0:9047:c001::1,0
13730,240e:e0:9036:c001::1,0
14235,240e:e0:9032:c001::1,0
14479,240e:e0:9030:c001::1,0
14732,240e:e0:9028:c001::1,0
15622,240e:e0:9020:c001::1,0
15758,240e:e0:901f:c001::1,0
15847,240e:e0:901e:c001::1,0
16336,240e:e0:9018:c001::1,0
17254,240e:e0:9010:c001::1,0
17424,240e:e0:900b:c001::1,0
17527,240e:e0:900a:c001::1,0
17824,240e:e0:9008:c001::1,0
18129,240e:e0:9006:c001::1,0
18394,240e:e0:9004:c001::1,0
18868,240e:e0:8e41:c001::1,0
19019,240e:e0:8e38:c001::1,0
19130,240e:e0:8e2e:c001::1,0
19279,240e:e0:8e23:c001::1,0
19438,240e:e0:8e0e:c001::1,0
19553,240e:e0:8e02:c001::1,0
19731,240e:e0:8033:c001::1,0
20506,240e:e0:6e50:c001::1,0
22266,240e:e0:6e11:6400:4e81:20ff:fe39:face,1
22713,240e:e0:6e06:c001::1,0
22832,240e:e0:6e02:c001::1,0
23471,240e:e0:6742:c001::1,0
23673,240e:e0:673e:c001::1,0
23716,240e:e0:673d:c001::1,0
23924,240e:e0:6735:c001::1,0
25059,240e:e0:6714:c001::1,0
25603,240e:e0:6701:c001::1,0
25744,240e:e0:5963:c001::1,0
26378,240e:e0:595a:c001::1,0
26809,240e:e0:5957:c001::1,0
28061,240e:e0:5940:c001::1,0
28603,240e:e0:5932:c001::1,0
28849,240e:e0:592e:c001::1,0
29325,240e:e0:5920:c001::1,0
29579,240e:e0:591e:c001::1,0
29745,240e:e0:591d:c001::1,0
30912,240e:e0:5908:c001::1,0
31416,240e:e0:5902:c001::1,0
31697,240e:e0:5900:c001::1,0
31925,240e:e0:575d:c001::1,0
32015,240e:e0:5759:c001::1,0
32324,240e:e0:5738:c001::1,0
32729,240e:e0:5711:c001::1,0
33257,240e:d4:1058:be01:9a13:33ff:feed:13ba,1
34512,240e:c0:af19:6001:24a:77ff:feed:13ba,1
37658,240e:bc:e008:d34:ee82:6327:babe:b39,2
37893,240e:bc:26:bed0:46ff:baff:feed:421,1
37979,240e:bc:19:c40d:46ff:baff:feed:a589,1
38408,240e:b1:c001::40,0
38457,240e:b0:c0de:c520:211:32ff:fe86:5b9b,1
38458,240e:b0:c0de:8990:211:32ff:fe86:5b9b,1
38459,240e:b0:c0de:7d10:211:32ff:fe86:5b9b,1
39088,240e:a6:7:cfd6:5ea1:7641:c01d:5e64,2
40232,240e:a6:7:b756:8a5d:fbff:9869:face,2
40233,240e:a6:7:b756:8a5d:fb5f:8069:face,2
40833,240e:a6:7:ade1:46ff:babe:b0b9:a67a,2
41139,240e:a6:7:ace1:46ff:babe:90b8:9523,2
47728,240e:9f:c001::4,0
49999,240e:3a1:2b0:fc40:20c:29ff:feed:c7ec,1
50000,240e:3a1:2b0:b880:20c:29ff:feed:c7ec,1
50109,240e:3:c001:400e::3,0
50110,240e:3:c001:4003::3,0
50111,240e:3:c001:300e::3,0
50112,240e:3:c001:3003::3,0
52116,240e:398:e02:144a:cea2:60d7:c01d:2ded,2
52263,240e:398:b4a7:a400:abf1:9b16:b26b:cafe,2
53461,240e:398:489:a1b0:21e:33ff:feed:1950,1
53462,240e:398:489:a0a0:21e:33ff:feed:1950,1
53463,240e:398:485:f310:21e:33ff:feed:1950,1
53974,240e:398:30b:4363:cea2:60ea:5d30:dead,2
56534,240e:398:300:6416:cea2:6027:3b2d:dead,2
65830,240e:398:0:2cfe:9e61:218c:dead:215d,2
67341,240e:398:0:2a5b:2644:2782:b00c:279c,2
69816,240e:391:c01:face:e37:47ff:fef5:a261,1
70252,240e:390:5073:741e:d479:d482:536e:cafe,2
73646,240e:34c:6902:1610:5e09:79ed:beef:c6ec,2
77211,240e:328:2401:defd:8894:37c5:4032:c001,2
77615,240e:328:2400:d6ef:1d09:c83e:9a7d:babe,2
78722,240e:310:60a:6bb2:6046:cafe:7b8:4fc0,2
85743,240d:1a:690:ee00:ce1a:faff:feb6:cafe,1
87387,240a:3:b90:203:face:b00c:3333:a3f,0
87389,240a:3:b90:201:face:b00c:3333:a3f,0
87390,240a:3:b90:201:face:b00c:0:a7,0
88928,2409:8a62:715:ab40:361a:35ff:feed:2c72,1
89187,2409:8a62:703:3f38:ae54:74ff:feed:e379,1
89554,2409:8a62:701:e494:ae54:74ff:feed:1871,1
89581,2409:8a62:701:df28:ae54:74ff:feed:c139,1
89582,2409:8a62:701:df28:ae54:74ff:feed:c099,1
89737,2409:8a62:701:d239:ae54:74ff:feed:9789,1
89865,2409:8a62:701:c64c:ae54:74ff:feed:c2c1,1
89894,2409:8a62:701:c2cc:ae54:74ff:feed:97c9,1
89916,2409:8a62:701:c0c4:ae54:74ff:feed:97a9,1
90005,2409:8a62:701:b996:ae54:74ff:feed:c0a1,1
90091,2409:8a62:701:add8:ae54:74ff:feed:c4d9,1
90191,2409:8a62:701:a91c:ae54:74ff:feed:c9f1,1
91262,2409:8a62:701:4655:ae54:74ff:feed:4221,1
91356,2409:8a62:701:3dc:ae54:74ff:feed:9a21,1
91439,2409:8a62:701:38d1:ae54:74ff:feed:97d9,1
91567,2409:8a62:701:2dec:f484:7351:beef:a3d5,2
91815,2409:8a62:701:12bd:ae54:74ff:feed:18c9,1
92010,2409:8a62:307:2d0b:ae54:74ff:feed:4fd1,1
92988,2409:8a5c:3a13:7ca0:d65f:25ff:feed:6a48,1
95732,2409:8a4c:601:8f30:c01d:1ca:9cf7:e4f8,2
98235,2409:8a34:613:be70:bebc:c001:4229:9ce3,2
99320,2409:8a28:8a9:e4a0:11a5:c0de:540b:d8e6,2
100223,2409:8a28:70f2:baf8:cdc2:b00c:621a:ac1f,2
100735,2409:8a28:70f2:87d:b00b:577:48de:29d8,2
103162,2409:8a20:9e1e:6c70:e429:76ff:feed:cf30,1
103183,2409:8a20:9e1c:1310:e429:76ff:feed:cf30,1
103187,2409:8a20:9e1b:3e60:e429:76ff:feed:cf30,1
103200,2409:8a20:9e19:5320:e429:76ff:feed:cf30,1
103214,2409:8a20:9e17:b970:e429:76ff:feed:cf30,1
103220,2409:8a20:9e16:7e50:e429:76ff:feed:cf30,1
103232,2409:8a20:9e14:c7c0:e429:76ff:feed:cf30,1
103251,2409:8a20:9e11:f580:e429:76ff:feed:cf30,1
103253,2409:8a20:9e11:c730:e429:76ff:feed:cf30,1
103261,2409:8a20:9e10:da30:e429:76ff:feed:cf30,1
110597,2409:12:82e0:3a00::feed,0
110611,2409:12:6180:8000:52e5:49ff:feed:c6f0,1
110650,2409:11:c001:6f00:211:32ff:fe71:bab,1
110817,2409:10:8400:600::cafe:11,0
110818,2409:10:8400:600::cafe:1,0
111625,2408:84f7::ed62:face:ee88:ce36,2
111916,2408:84f3:c10:0:3c05:a908:c001:a709,2
